session,symbol,n_test_orders,delta,n_lags,propagator_scale,sqrt_c,sqrt_trailing_c,blend_alpha,blend_c,sqrt_tod_loso_c,sqrt_tod_prior_c,rate_c,rate_delta,rate_k,rate_median_test,propagator_r2,propagator_slope,propagator_scaled_r2,propagator_scaled_slope,sqrt_r2,sqrt_slope,sqrt_trailing_sigma_r2,sqrt_trailing_sigma_slope,sqrt_blend_r2,sqrt_blend_slope,sqrt_tod_loso_r2,sqrt_tod_loso_slope,sqrt_tod_prior_r2,sqrt_tod_prior_slope,sqrt_rate_r2,sqrt_rate_slope
MSFT_2024-06-03,MSFT,2737,0.25,60,0.597047887505038,1.91416770514152,0.960744674997792,0.8,1.7843769634980553,1.3478736602308303,1.2712153398707349,1.117959913678025,0.4375934873563583,0.08697583471041541,0.6262458471760798,-2.0350275205864685,0.3543364982143729,0.15637209336897495,0.593480867498058,-0.2108597875209146,0.5152919596734434,0.12358319463583367,1.1675971817878406,-0.005611570770512664,0.5699429576328081,0.12160542973479738,0.6776813852913603,0.10663664569327969,0.7064799461024234,-0.09361391947439768,0.5915877060851186
MSFT_2024-02-01,MSFT,3624,0.25,60,0.5906396318424717,1.614159440687261,0.8266268987004335,0.71,1.4585485473737003,1.140667239912127,,2.0606241003940267,0.5229157560363169,0.054425559706283225,0.44830820716707787,-3.050922648104277,0.3096104954454947,-0.06440274112898114,0.5241952601109404,-0.3822497596256256,0.5008920883527068,0.10440851229923342,1.3608571685748834,0.0443143910750361,0.6150540724647962,0.14929801684990163,0.7125177517124585,,,-0.3646201798392166,0.4818061661613555
MSFT_2024-04-01,MSFT,2825,0.75,0,1.0803647511144066,1.3512981610879293,0.6884576114950828,0.8300000000000001,1.3420483999730932,0.9116962334211973,0.8834379032522344,1.8576855401616568,0.529202265822028,0.10882767580025378,0.3936456650511578,-0.22633751041829386,0.49088881017548064,-0.5179649043956442,0.45437321947899934,-0.8379861260873176,0.5194560911294898,0.0907176181413124,1.3303876915389277,-0.3663634423910791,0.5611412098680523,0.3612165706175282,0.8953799601818102,0.371244226635404,0.9474748631491278,-0.5636792442922771,0.5162680468112336
MSFT_2024-10-01,MSFT,3926,0.25,2,0.6720122849169082,2.1273025354899544,1.1996281871341716,0.71,1.9163146506098347,1.5071282617354855,1.5222138332501456,0.993377016463619,0.4150488591986997,0.09382094613947498,0.3593384152830992,-1.0813402758060717,0.4210207929663305,0.2556077695438339,0.6265075838879763,-0.009980886674281653,0.584208631224194,0.14668063312433022,1.053245659543039,0.13728364258138415,0.6574179387548642,0.1491359497045337,0.8447183750929825,0.16817883101338216,0.9625411235743807,0.040638666395235945,0.6481146992943471
MSFT_2024-12-02,MSFT,2004,0.5,5,0.6419337336822896,1.8106111799246138,1.2344599405025147,0.62,1.7346444537234675,1.352604738303807,1.352604738303807,0.7863370488041262,0.40100262877834236,0.09450537306012248,0.5781127535862056,-1.997917324579186,0.3336427461564261,-0.016694979144760147,0.5197463984990623,-0.28541522720464374,0.5362182011973835,0.11534285919369136,0.92541110708456,0.067724691746753,0.6244339583761042,0.2227193210325269,0.8336951975839335,0.2227193210325269,0.8336951975839335,-0.351321125380494,0.5519953074817282
INTC_2024-08-02,INTC,1381,0.25,1,0.41295365569853015,1.0339272881093637,0.6795797415567085,0.97,1.0309218571830723,0.6609657225015406,0.6394592876436498,0.5482418098657756,0.4297370272130694,0.014005293371351552,0.43652766790974495,-18.878092482137568,0.13926080126748946,-1.3282004100105276,0.3372310653889805,-0.32727895232758275,0.4788835806486455,0.10394921276748759,1.4125239595079095,-0.26408184518187405,0.4902772716580555,0.21280487289100314,0.8299139348301022,0.19974854801068098,0.8440858473425165,-0.17130678456840887,0.5585058164479312
INTC_2024-02-01,INTC,852,0.25,5,0.3020535383919511,1.0329825486383157,1.0319252129880907,0.5700000000000001,1.1625588273230274,0.849687611945342,,0.7286868534883492,0.4560112478307465,0.09936494801378656,0.8745237508417043,-30.973463248808052,0.13730983146078496,-0.3193029745650169,0.45458772703602235,-0.45549804946368155,0.5343516556692685,0.22396089630738902,1.1842702726515824,0.08228339079880775,0.6708326196210137,0.1263136744929858,0.6385234227508273,,,-0.31690490344197064,0.5928866156157204
INTC_2024-04-01,INTC,853,0.5,5,0.4789165225686132,1.0609538623620134,0.6317134537051677,0.85,1.0697850611407524,0.7022848899229337,0.6948220525227555,0.6598042930608529,0.439389459091733,0.09390472039459327,0.7122905027932961,-12.057091719484747,0.1967436428240186,-0.8256627953755316,0.41080988763721676,-0.7022846241084899,0.48352927403239404,0.09146830936424122,1.4015608795646612,-0.33255825484935264,0.5262317867241884,0.3144278954869949,0.9611787966971014,0.31760279069978004,0.9670232420980592,-0.4955782622103948,0.550916499685176
INTC_2024-10-01,INTC,624,0.25,0,0.23255328915428186,1.0784232176397353,1.1710545979576463,0.43,1.1902660370855394,0.8939259879341241,0.8709664128461578,0.6440777818405424,0.4344317858300655,0.08014950746746102,0.8274041557521425,-36.10631524998282,0.11850374814962561,0.0294401706709444,0.5095767451003764,-0.6315207261742257,0.38384394294040125,-0.10985592452562476,0.41033417912171316,-0.2887462951495492,0.38264719484029563,0.08080257060941765,0.5870051751537136,0.06862522818644745,0.5768227756491443,-0.25692734172068743,0.5057959047711625
INTC_2024-12-02,INTC,1904,0.25,2,0.2514321633192524,1.6967460089918074,0.6033922364231975,0.77,1.5816311449128189,1.308913184788751,1.308913184788751,1.0395323752383003,0.4358207818019426,0.09875808648984073,0.33919606999426277,-8.068518851759395,0.17367240878175177,0.1883372052475104,0.6907326671696882,0.17259301279083816,0.7129475353680079,0.12175277547682328,1.913921792670664,0.2341686001754434,0.7970891724390796,0.13842317618363287,1.0621036866904439,0.13842317618363287,1.0621036866904439,0.20124186198763006,0.7561541772179757
